# GENERATED FILE - DO NOT EDIT. Source: docs/reference/feature-status.jsonl
id,area,feature,user_story,expected_behaviour,implementation_status,verification_status,code_evidence,test_evidence,external_evidence_remaining,known_defects,backlog_references,compatibility_notes,last_verified_commit,last_verified_date
US-036,Premium,Paywall product loading and plan selection,"As a user considering Premium, I want available plans, price/period, and terms before purchase.","MomentPaywallSheet loads only configured StoreKit product IDs, selects the recommended product when available, exposes plan choice, and shows renewal disclosure plus Terms and Privacy.",Partial,Partial,prosepal-ios/App/Info.plist; prosepal-ios/ProsePal.xcodeproj/project.pbxproj; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/SubscriptionClient.swift,prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/AppStoreKitTests/StoreKitSubscriptionClientStoreKitTests.swift; scripts/run_storekit_release_gate.sh,Configured StoreKit products and all direct StoreKit scenarios must execute with zero failures and zero skips on a working runtime.,The current StoreKit runtime returns no products for the configured identifiers.,docs/BACKLOG.md,Keep Partial until the configured products return and every direct StoreKit scenario executes with zero failures and zero skips.,c181378,2026-07-15
US-037,Premium,Purchase Premium,"As a user, I want to purchase without mandatory app sign-in and unlock only after entitlement is active.","StoreKitSubscriptionClient purchases the selected product; cancellation and pending stay locked, and MomentAccountModel unlocks only after verified entitlement convergence.",Partial,Partial,prosepal-ios/Sources/ProsePalAPI/SubscriptionClient.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift,prosepal-ios/Tests/ProsePalAPITests/SubscriptionClientTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/AppStoreKitTests/StoreKitSubscriptionClientStoreKitTests.swift,Direct StoreKit purchase scenarios and sandbox purchase evidence remain open.,The app-hosted StoreKit purchase scenarios cannot execute until the runtime returns configured products.,docs/BACKLOG.md,No purchase is claimed complete until StoreKit and entitlement convergence confirm it.,c181378,2026-07-15
US-038,Premium,Restore purchases,"As a user, I want to restore purchases from both Paywall and Settings.","Paywall and Settings call the same restore boundary; active entitlement unlocks, confirmed inactivity stays locked, and failures return a user-safe retry state.",Partial,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsView.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift; prosepal-ios/Sources/ProsePalAPI/SubscriptionClient.swift,prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/AppStoreKitTests/StoreKitSubscriptionClientStoreKitTests.swift,Active sandbox or TestFlight restore and App Store server reconciliation evidence remain open.,,docs/BACKLOG.md,Local policy coverage does not substitute for sandbox/TestFlight restore and server reconciliation.,c181378,2026-07-15
US-039,Premium,Server entitlement authority,"As a user, I want paid cloud access to match server entitlement rather than stale local UI.",App Store notification and reconciliation functions update user_entitlements; the iOS client supplies appAccountToken only for a valid signed-in Supabase UUID.,Partial,Partial,supabase/functions/app-store-notifications/index.ts; supabase/functions/app-store-reconcile-entitlement/index.ts; prosepal-ios/App/ProsePalNativeApp.swift,supabase/functions/app-store-notifications/index.test.ts; supabase/functions/app-store-reconcile-entitlement/index.test.ts; prosepal-ios/Tests/ProsePalAPITests/SubscriptionClientTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift,"Live App Store notification, reconciliation, and paid-gateway ownership evidence remain open in staging or TestFlight.",,docs/BACKLOG.md,StoreKit is local truth while the server remains authoritative for paid gateway policy and cloud extras.,c181378,2026-07-15
US-040,Settings,"Support, legal, and about","As a user, I want support, Terms, Privacy Policy, and app version information accessible from Settings.","MomentSettingsView links support email, exposes a copy-support fallback, opens the standard EULA and privacy URL, and shows app version/build; the current About section also exposes a Direction row.",Partial,Partial,prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsView.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsComponents.swift,prosepal-ios/evidence/feature-status/us-040-staging-settings-support-legal.jpg; prosepal-ios/evidence/feature-status/us-040-staging-copy-support-email.jpg; prosepal-ios/evidence/feature-status/us-040-staging-terms-safari.jpg; prosepal-ios/evidence/feature-status/us-040-staging-privacy-safari.jpg,,The About Direction value says Native iOS even though ProsePal is the only current app.,docs/BACKLOG.md,Support and legal actions are implemented; Partial is caused by the known misleading About vocabulary.,c181378,2026-07-15
US-041,Runtime,Readiness metadata,"As a user or tester, I want the app to show whether private and careful writing are configured without leaking secrets.",NativeRuntimeReadiness exposes configuration booleans; Settings shows Private Draft and automatic Sensitive moments readiness labels.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/NativeRuntimeReadiness.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsComponents.swift; prosepal-ios/Sources/ProsePalAPI/NativeRuntimeConfig.swift,prosepal-ios/Tests/ProsePalUITests/NativeRuntimeReadinessTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentSettingsPresentationTests.swift; prosepal-ios/Tests/ProsePalAPITests/NativeRuntimeConfigTests.swift,,,docs/operations/local-development.md,Secret values are not printed and the readiness row is status rather than a manual writing control.,c181378,2026-07-15
US-042,Privacy,Metadata-only diagnostics,"As a privacy-sensitive user, I want diagnostics to avoid raw message content and secrets.",NativeDiagnosticsLogger records structured action names states request prefixes and character counts rather than raw message text credentials or tokens.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/NativeDiagnosticsLogger.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift,prosepal-ios/Tests/ProsePalUITests/NativeDiagnosticsTests.swift,,,docs/engineering/data-and-privacy.md,No third-party analytics SDK is present by default.,c181378,2026-07-15
US-043,Account,Keychain auth persistence,"As a signed-in user, I want my session persisted securely between launches.","KeychainAuthSessionStore encodes AuthSession, saves to Keychain, loads, updates, and clears by service/account; AuthSessionController owns refresh and replacement races.",Implemented,Partial,prosepal-ios/Sources/ProsePalAPI/KeychainAuthSessionStore.swift; prosepal-ios/Sources/ProsePalAPI/AuthSession.swift,prosepal-ios/Tests/ProsePalAPITests/AuthSessionTests.swift,Physical-device Keychain continuity remains release evidence.,,docs/product/capabilities.md,Physical-device Keychain continuity remains release evidence rather than an unsupported automated claim.,c181378,2026-07-15
US-044,Gateway,Gateway card generation client,"As a user, I want careful generation errors to be recoverable and user-safe.","GatewayMessageWritingClient sends a strict request identity with CardRequest; initial automatic careful drafts persist that identity across ambiguous retries; each named adjustment uses a fresh key for its explicit action; the gateway reserves quota and burst capacity before provider work, safely replays completed duplicates, and propagates client cancellation into the active provider fetch without starting another fallback model.",Implemented,Partial,prosepal-ios/Sources/ProsePalAPI/GatewayMessageWritingClient.swift; prosepal-ios/Sources/ProsePalAPI/GatewayCarefulMomentClient.swift; prosepal-ios/Sources/ProsePalAPI/CarefulRequestKeyStore.swift; supabase/functions/generate-card/index.ts; supabase/migrations/20260712170634_gateway_request_ledger.sql,prosepal-ios/Tests/ProsePalAPITests/MessageWritingClientTests.swift; prosepal-ios/Tests/ProsePalAPITests/CarefulRequestKeyStoreTests.swift; supabase/functions/generate-card/index.test.ts; supabase/tests/gateway_request_ledger_test.sql; scripts/test_gateway_ledger_concurrency.sh,Guarded staging generation and replay evidence remain open.,Named adjustment requests do not yet have durable request identities.,docs/BACKLOG.md,Initial careful drafts survive a lost response without a second charge; durable identities for named Adjust actions plus guarded staging proof remain open.,c181378,2026-07-15
US-045,System Surfaces,App Intent and Shortcuts,"As a user, I want to start or resume a Moment from Shortcuts or Siri.",StartMomentIntent writes a MomentLaunchRequest and opens a MomentDeepLink from the shared ProsePalDomain handoff contract; App Shortcuts supplies the supported phrases.,Partial,Partial,prosepal-ios/Sources/ProsePalDomain/MomentHandoff.swift; prosepal-ios/Sources/ProsePalUI/ProsePalAppIntents.swift; prosepal-ios/App/ProsePalAppShortcuts.swift,prosepal-ios/Tests/ProsePalDomainTests/MomentHandoffTests.swift; prosepal-ios/Tests/ProsePalUITests/ProsePalAppIntentsTests.swift,Real Shortcuts and Siri execution on a physical device remain open.,,docs/BACKLOG.md,Ship only if the actual system surface passes production-like qualification.; Uses the canonical ProsePalDomain launch contract; App Intent surfaces retain only the AppIntents-dependent types.,c181378,2026-07-15
US-046,System Surfaces,Care Glance widget,"As a user, I want a widget for relationship care reminders or glanceable moments.",Production and staging WidgetKit extensions embed CareGlanceWidget; its bundle-aware URL opens the matching app into a widget-sourced Moment.,Partial,Partial,prosepal-ios/Sources/ProsePalDomain/MomentHandoff.swift; prosepal-ios/Widgets/ProsePalWidgets.swift; prosepal-ios/Widgets/Info.plist; prosepal-ios/ProsePal.xcodeproj/project.pbxproj,prosepal-ios/Tests/ProsePalDomainTests/MomentHandoffTests.swift; prosepal-ios/Tests/ProsePalUITests/SystemSurfaceProjectTests.swift; prosepal-ios/Tests/ProsePalUITests/ProsePalAppIntentsTests.swift,Widget Gallery configuration and physical-device widget launch remain open.,,docs/BACKLOG.md,"Keep Partial until the widget is configured and launched from the real system surface.; Staging target wiring and bundle-aware handoff were added.; Open URLs are built with MomentDeepLink.momentURL(source:environment:); production/staging scheme routing lives in MomentHandoffEnvironment, not inline in the widget.",c181378,2026-07-15
US-047,System Surfaces,Control Center / Action Button control,"As a user, I want a system control to quickly start a Moment.",StartMomentControlWidget is embedded in both widget targets and opens a bundle-aware control_center deep link that the app accepts.,Partial,Partial,prosepal-ios/Sources/ProsePalDomain/MomentHandoff.swift; prosepal-ios/Widgets/ProsePalWidgets.swift; prosepal-ios/ProsePal.xcodeproj/project.pbxproj; prosepal-ios/Sources/ProsePalUI/ProsePalAppIntents.swift,prosepal-ios/Tests/ProsePalDomainTests/MomentHandoffTests.swift; prosepal-ios/Tests/ProsePalUITests/SystemSurfaceProjectTests.swift; prosepal-ios/Tests/ProsePalUITests/ProsePalAppIntentsTests.swift,Real Control Center or Action Button configuration and physical-device launch remain open.,,docs/BACKLOG.md,"Keep Partial until the control is configured and launched from Control Center or the Action Button.; Staging target embedding and bundle-aware URLs were added.; Open URLs are built with MomentDeepLink.momentURL(source:environment:); production/staging scheme routing lives in MomentHandoffEnvironment, not inline in the widget.",c181378,2026-07-15
US-048,System Surfaces,Share extension,"As a user, I want to turn outside text or context into a Moment.","Production and staging share extensions accept text/URL providers, sanitise and store capped context in the canonical SharedMomentLaunchPayload/SharedMomentLaunchStore contract keyed per environment, and open the matching app; MomentAppRootView consumes the payload without logging raw content. MomentDeepLink accepts both prosepal and prosepal-staging schemes.",Partial,Partial,prosepal-ios/Sources/ProsePalDomain/MomentHandoff.swift; prosepal-ios/ShareExtension/ShareViewController.swift; prosepal-ios/ShareExtension/Info.plist; prosepal-ios/ShareExtension/ProsePalShareExtension.entitlements; prosepal-ios/App/ProsePal.entitlements; prosepal-ios/ProsePal.xcodeproj/project.pbxproj; prosepal-ios/Sources/ProsePalUI/ProsePalAppIntents.swift; prosepal-ios/Sources/ProsePalUI/MomentAppRootView.swift; prosepal-ios/Sources/ProsePalUI/NativeDiagnosticsLogger.swift,prosepal-ios/Tests/ProsePalDomainTests/MomentHandoffTests.swift; prosepal-ios/Tests/ProsePalUITests/SystemSurfaceProjectTests.swift; prosepal-ios/Tests/ProsePalUITests/ProsePalAppIntentsTests.swift; prosepal-ios/Tests/ProsePalUITests/NativeDiagnosticsTests.swift; prosepal-ios/evidence/feature-status/us-048-safari-share-sheet-prosepal.jpg,A complete system Share Extension to app handoff remains unproved.,,docs/BACKLOG.md,"No raw shared content enters the deep-link URL; keep Partial until the real system handoff is captured.; The extension links ProsePalDomain and uses the canonical contract with no target-local payload, store, key, or scheme; production and staging are isolated by per-environment app-group key.",c181378,2026-07-15
US-049,Moment Input,Voice capture,"As a user, I want to say the messy thing by voice instead of typing it.",The composer has no voice-entry control and the app declares no microphone or speech-recognition usage descriptions; Moment detail is typed input only.,Removed,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/App/Info.plist,prosepal-ios/Tests/ProsePalUITests/MomentComposerInputTests.swift; prosepal-ios/Tests/ProsePalUITests/NativeGuardrailTests.swift,,,docs/BACKLOG.md,Voice input is deferred as a separately owned post-v1 feature; this row preserves useful removal history without citing a deleted file.; The control model wiring transcriber implementation tests and permission strings were removed from v1.,c181378,2026-07-15
US-050,Settings,Data export,"As a user, I want to export my local ProsePal data from Settings without waiting for support.","RelationshipVaultExporter creates a versioned JSON snapshot of Truth Beads, Voice Cards, and saved drafts; Settings shows counts filename preview Refresh Copy JSON and a named-file ShareLink backed by a typed Transferable.",Implemented,Partial,prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentLocalDataExport.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentSharingTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/evidence/feature-status/us-050-export-ready.jpg,Physical-device file-export destination presentation remains unproved.,,docs/BACKLOG.md,The export omits internal person keys and store paths; account/server export remains separate.; MomentLocalDataExport preserves the generated filename and exact bytes cleans temporary files and retains Copy JSON.,c181378,2026-07-15
US-051,Privacy,Relationship vault storage and erase,"As a user, I want local relationship memory to be stored privately and erased safely when deleting my account.","The vault uses SwiftData in a backup-excluded Application Support directory, falls back to an honest ephemeral vault if persistence cannot open, and erases Truth Beads Voice Cards saved drafts and fallback files during local cleanup.",Implemented,Partial,prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift; prosepal-ios/App/ProsePalNativeApp.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsView.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/Tests/ProsePalUITests/NativeRuntimeReadinessTests.swift,,A non-failing Core Data NSXPCConnection warning may appear during package tests.,docs/engineering/relationship-vault.md,At-rest encryption beyond Apple data protection remains a separate post-v1 decision.; Persistent-or-ephemeral startup local erasure fallback-file cleanup and a visible persistence status are implemented.,c181378,2026-07-15
US-052,Architecture,Provider-agnostic UI,"As a user, I should not see provider or model names in the app UI.",UI depends on MessageWritingService and describes automatic Sensitive moments readiness without provider/model names or a manual careful-writing action.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalUI/NativeRuntimeReadiness.swift; prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift,prosepal-ios/Tests/ProsePalUITests/NativeGuardrailTests.swift,,,docs/BACKLOG.md,Automated guards fail if provider/model names or the retired manual-care action drift into App or ProsePalUI source.,c181378,2026-07-15
US-053,Accessibility,Accessibility posture,"As a user using accessibility settings, I want controls, text, navigation, and progress states to remain usable.",SwiftUI surfaces use labels selectable text standard navigation reduce-motion checks accessible progress values explicit icon labels an accessibility-size composer variant inline draft actions and opaque Reduce Transparency fallbacks.,Partial,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalUI/MomentGeneratingView.swift; prosepal-ios/App/ProsePalNativeApp.swift,prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/evidence/feature-status/us-053-accessibility-large-text-fixed.jpg; prosepal-ios/evidence/feature-status/us-053-accessibility-inline-actions-fixed.jpg; prosepal-ios/evidence/feature-status/us-053-reduce-transparency-first-entry.jpg,"VoiceOver, Switch Control, broader large-text flows, and physical-device accessibility evidence remain open.",,docs/BACKLOG.md,Keep Partial until VoiceOver Switch Control broader large-text flows and physical-device evidence pass.; Accessibility-size chrome inline actions wrapping and Reduce Transparency surfaces were added.,c181378,2026-07-15
US-054,Non-goal Guardrail,No third-party provider SDKs,"As a user, I want the iOS app to stay dependency-light and privacy-safe by default.",Package.swift has no package dependencies; the client uses StoreKit SwiftData Foundation Models and provider-neutral HTTP boundaries without RevenueCat Firebase AI or provider SDKs.,Implemented,Verified,prosepal-ios/Package.swift,prosepal-ios/Tests/ProsePalUITests/NativeGuardrailTests.swift; prosepal-ios/Package.swift,,,docs/engineering/architecture.md,Provider-neutral server calls do not require a provider SDK in the app.,c181378,2026-07-15
US-055,Premium,Entitlement integrity and transaction delivery,"As a purchaser, I want Premium to follow verified StoreKit truth without leaking across accounts or disappearing during a temporary store outage.","StoreKitSubscriptionClient returns explicit active confirmed-inactive or unknown state; MomentAccountModel keeps same-account last-known-good active access during transient unknown state, clears it on confirmed inactivity or account switch, enforces appAccountToken compatibility, and finishes purchases or updates only after matching convergence.",Partial,Partial,prosepal-ios/Sources/ProsePalAPI/SubscriptionClient.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift; prosepal-ios/App/ProsePalNativeApp.swift,prosepal-ios/Tests/ProsePalAPITests/SubscriptionClientTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/AppStoreKitTests/StoreKitSubscriptionClientStoreKitTests.swift,All direct StoreKit scenarios must execute without skips; sandbox or TestFlight and server-ownership evidence remain open.,"The current StoreKit runtime returns an empty successful product lookup, which is a setup failure rather than a skippable Apple runtime error.",docs/BACKLOG.md,"Keep Partial until all direct StoreKit scenarios execute without skips and sandbox/TestFlight plus server ownership evidence pass.; Added tri-state entitlement policy, renewal-state mapping, ownership and account-epoch rules, deferred finish/redelivery, explicit retired-product recognition, and direct SKTestSession scenarios; The app-hosted suite defines 12 direct StoreKit scenarios, and its release gate requires zero failures and zero skips.",c181378,2026-07-15
US-056,Quality,Release-critical UI automation,"As a release owner, I want durable user journeys exercised in the running iOS app so broken wiring cannot pass on source assertions alone.",A focused XCUITest target drives isolated first-run navigation generation delayed authentication and subscription work account-deletion outcomes persistence generic sharing/export and accessibility-size scenarios through real actions and stable accessibility contracts.,Implemented,Partial,prosepal-ios/App/ProsePalUITestSupport.swift; prosepal-ios/App/ProsePalNativeApp.swift; prosepal-ios/Sources/ProsePalUI/MomentGeneratingView.swift; prosepal-ios/Sources/ProsePalUI/MomentAppleSignInControl.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsView.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/AppUITests/ProsePalNativeUITests.swift; scripts/run_native_ui_tests.sh; .github/workflows/native-ui.yml,"Live Apple authorization, StoreKit sandbox transactions, provider output, VoiceOver, generic share destinations, and physical-device behaviour remain external release evidence.",Sign-out progress and paywall-local purchase or restore outcome presentation remain product findings.,docs/BACKLOG.md; docs/quality/testing.md,Local automation is not represented as proof of live Apple provider accessibility or physical-device behavior.; DEBUG-only named scenarios provide delayed success and failure boundaries without changing release behavior.,c181378,2026-07-15
US-057,Drafting,Stop and obsolete-work cancellation,"As a user waiting for a draft, I want Stop and navigation changes to end obsolete work without losing my input or allowing a late result to appear.",MomentModel alone owns the retained generation task; Stop reset meaning-bearing input changes composer dismissal app backgrounding and superseding work cancel it while a generation identity suppresses late results.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalUI/MomentGeneratingView.swift; prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift,prosepal-ios/Tests/ProsePalUITests/MomentGenerationLifecycleTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,,,docs/engineering/ai-generation.md,The UI exposes Stop only while generation is active; cancellation never claims a draft was completed.,c181378,2026-07-15
US-058,Quality,Cross-cutting asynchronous feedback,"As a user starting durable network-backed work, I want immediate honest feedback and protection from accidental duplicate submission.",Generation sign-in product loading purchase restore and account deletion expose indeterminate progress disable or remove duplicate actions preserve writing and reveal confirmed success failure retry or indeterminate outcomes without fake percentages.,Partial,Partial,prosepal-ios/Sources/ProsePalUI/MomentGeneratingView.swift; prosepal-ios/Sources/ProsePalUI/MomentAppleSignInControl.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsView.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/AppUITests/ProsePalNativeUITests.swift,"Live Apple, StoreKit, provider, and physical-device waiting behaviour remain unproved.","Sign-out lacks an equivalent progress contract, and paywall-local purchase or restore outcomes can be less visible than Settings outcomes.",docs/BACKLOG.md; docs/quality/testing.md,Keep behavioural assertions layout-neutral; waiting-state inconsistencies require a dedicated product slice rather than a volatile composer redesign.,c181378,2026-07-15
US-059,Drafting,Usage-limit and Premium-limit honesty,"As a user considering or reaching a writing limit, I want policy claims to match the server rather than invented counters reset dates or unlimited promises.",Plan and Paywall promise more drafts and refines through higher writing limits; the limit state preserves the gateway user-safe message and never invents counters reset dates meters or unlimited access. One completed unique gateway request consumes one allowance while private on-device work failures and replay do not.,Implemented,Verified,prosepal-ios/Sources/ProsePalAPI/GatewayMessageWritingClient.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; supabase/functions/generate-card/index.ts; supabase/migrations/20260712170634_gateway_request_ledger.sql,prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/Tests/ProsePalUITests/SystemSurfaceProjectTests.swift; supabase/functions/generate-card/index.test.ts,,,docs/engineering/gateway-request-ledger.md; docs/engineering/subscriptions.md; docs/BACKLOG.md,The finite 500-per-month entitled repository policy remains an explicit release-owner decision before any numerical customer promise; the current UI stays non-quantified.; Replaced unsupported unlimited language and infinity glyphs across the app and active design sources; documented the request-ledger counting contract and retained exact quota copy behind an owner approval gate.,c181378,2026-07-15
US-060,Moment Input,Tone selection,"As a user, I want to choose the voice of the message before generation.",The composer exposes every Tone case in one menu; selection updates the meaning-bearing Moment state invalidates stale output persists through recovery and reaches both private and gateway prompt contracts.,Implemented,Partial,prosepal-ios/Sources/ProsePalDomain/CardModels.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/FoundationModelsPrivateDraftClient.swift; prosepal-ios/Sources/ProsePalAPI/GatewayCarefulMomentClient.swift,prosepal-ios/Tests/ProsePalDomainTests/CardContractTests.swift; prosepal-ios/Tests/ProsePalAPITests/PrivateDraftPromptPlanTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift,Direct tone-menu interaction remains unproved by UI automation.,,docs/product/capabilities.md,Heartfelt is the default; the visible choices are Heartfelt Casual Funny Formal Inspirational Playful Sarcastic Nostalgic and Poetic.,c181378,2026-07-15
US-061,Moment Input,Message length selection,"As a user, I want to choose a brief standard or detailed message before generation.",The composer exposes Brief Standard and Detailed controls; selection updates meaning-bearing Moment state invalidates stale output persists through recovery and reaches both writing lanes as a generation hint.,Implemented,Partial,prosepal-ios/Sources/ProsePalDomain/CardModels.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/FoundationModelsPrivateDraftClient.swift; prosepal-ios/Sources/ProsePalAPI/GatewayCarefulMomentClient.swift,prosepal-ios/Tests/ProsePalDomainTests/CardContractTests.swift; prosepal-ios/Tests/ProsePalAPITests/PrivateDraftPromptPlanTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift,Direct message-length control interaction remains unproved by UI automation.,,docs/product/capabilities.md,Standard is the default; each label maps to a stable sentence-count hint rather than a fake exact guarantee.,c181378,2026-07-15
US-062,Moment Input,Automatic locale and spelling,"As a user, I want spelling and locale behavior to follow my device without another setup control.",MomentInput and CardIntent derive Locale.current.identifier and the automatic spelling preference by default; both private and gateway prompts receive the locale while the composer exposes no redundant spelling picker.,Implemented,Verified,prosepal-ios/Sources/ProsePalDomain/MomentModels.swift; prosepal-ios/Sources/ProsePalDomain/CardModels.swift; prosepal-ios/Sources/ProsePalAPI/FoundationModelsPrivateDraftClient.swift; prosepal-ios/Sources/ProsePalAPI/GatewayCarefulMomentClient.swift,prosepal-ios/Tests/ProsePalDomainTests/CardContractTests.swift; prosepal-ios/Tests/ProsePalAPITests/PrivateDraftPromptPlanTests.swift,,,docs/product/capabilities.md,Locale handling is automatic product behavior not a hidden user preference.,c181378,2026-07-15
US-063,Drafting,Another draft,"As a user, I want another way to say the same Moment without losing the draft I already have.",The result rail exposes Another; MomentModel.rewriteDraft sends the same meaning-bearing Moment through the model-owned draft lifecycle and replaces the active bundle only after success while storing the previous wording as a recoverable rewrite snapshot.,Implemented,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalUITests/MomentGenerationLifecycleTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift,"Direct Another replacement, undo, and chip interaction remain unproved by UI automation.",,docs/product/capabilities.md,Another is a fresh draft request rather than a named tone or length adjustment; the current one-draft result model remains in place until the planned three-option flow is delivered.,c181378,2026-07-15
